question1,question2
confusion to curiosity: Ex Girlfriend Initiated contact after 2 months? I'm confused,What CI tool do you use and why? What 3 words would you use to describe the brand? How would you describe alternatives?
"confusion to curiosity: For the people who turned 18 this year, or the ones who got to vote for the first time, How were you feeling? Were you confused for who to vote for?",I have an aggregate of below 60% in 12th and Btech. How can I get an IT job?
confusion to curiosity: What is the ending of Game of Thrones?,What is the ending of Game of Thrones?
confusion to curiosity: I really confused what to do?,What is the best web site of sex education?
confusion to curiosity: Is it a good option to use a cleaning company if you rent an apartment?,Is it a good option to use a cleaning company if you rent an apartment?
confusion to curiosity: How do I get my UAN number?,How do I get my UAN number?
confusion to curiosity: What are some ways of using Microsoft Excel that people don't usually know or get confused about?,What are some interesting home science experiments that exist that most people don't know about?
confusion to curiosity: I am confused between Radha and Rukmini. Who is the incarnation of the goddess Lakshmi?,Hinduism: What are all the incarnations of the goddess Devi?
confusion to curiosity: How do I market explainer videos througth emails?,How do I market explainer videos througth emails?
confusion to curiosity: I find Weka very confusing. Is there a way out?,Number of tile retail outlets in India?
"confusion to curiosity: I am confused by Docker Toolbox and Docker for Mac, what exactly the difference between them?",What is the difference between Git and Docker?
"gratitude to love: I like to crossdress, i want to buy girls clothes online, how can I do this without my family finding out?","I like to crossdress, i want to buy girls clothes online, how can I do this without my family finding out?"
confusion to curiosity: Is confusion a characteristic of the intelligent?,Is confusion a characteristic of the intelligent?
curiosity to surprise: What aspect of studying at Oxford has surprised you the most?,What aspect of studying at Oxford has surprised you the most?
"confusion to curiosity: I am going to build an Android application, but I am confused about the server-side programming language. Which one is better for providing API's: PHP, Python, Java or Node.js?","Which is better, Java or Python? And how?"
curiosity to surprise: What is it like to wear revealing clothes in public?,Do foreigners feel surprised to see some Indonesian women wearing revealing clothes?
curiosity to surprise: How is the Delhi Govt doing under the new CM Mr. Kejriwal?,Did the condition of Delhi really improve after Mr Arvind Kejriwal became the CM of Delhi? I was really surprised after seeing 67 seats given to the AAP in the assembly election by the people of Delhi. Is he really justifying the faith of the Delhi people?
confusion to curiosity: Confused soul venturing out to quorans for help. How do I decide if I should quit?,How do I decide if I should quit my job?
"confusion to curiosity: Head suddenly jerked violently backwards in sleep on pillow, woke up shocked and confused, could it cause brain damage?",How do south koreans feel toward north Korea?
confusion to curiosity: How do I make sure that I don't get sued when picking a name for my business?,What is V8? Why it influence so much to Node.js?
"sadness to remorse: Everytime I make out with my boyfriend, he cuts contact for days which leads to fights because I tend to feel pretty pathetic & lonely. What do I do?",I accused my boyfriend that he is only with me because he wants to have sex. How can I make it up to him to say sorry for saying that?
confusion to curiosity: What is the fee structure of Sri Chaitanya Visakhapatnam?,What is the fee structure of Sri Chaitanya Visakhapatnam?
confusion to curiosity: How do I build an email list?,How do I build an email list?
curiosity to surprise: What are some shocking/surprising placement stories from private colleges?,What are some shocking/surprising placement stories from private colleges?
"confusion to curiosity: I'm a IT student, I hate programing nd don't want 2 start my career in this. I'm bit confused in big data Nd networking. Plz hlp me 2 suggest",What is InkTec SubliNova Smart ink?
confusion to curiosity: What advice do you have for a seventeen year old who is pretty confused in life?,Any advice for a seventeen year old who just found out she's pregnant?
"fear to sadness: I'm a 30 year old gay man, single and terrified of aging. It seems aging is so much harder when you're gay. How can I see things more positively?",I'm 17 years old and gay. I'm very sad about this. Could I ever be straight? Is there any way?
"confusion to curiosity: I am 25 and I am always confused, where can I find good counsellor?",Where can I find a good psychological counsellor in Bangalore?
"curiosity to surprise: What is the song that goes like ""Woah oh oh oh woah oh woah""?","What is the song that goes like ""Woah oh oh oh woah oh woah""?"
curiosity to surprise: What's the most shocking answer you've seen on Quora?,What's the most shocking answer you've seen on Quora?
"confusion to curiosity: I want to get an espresso machine, either Dolce Gusto or Nespresso, but I am confused. Does one type of any of these machines has its own capsules that only work for it? And which brands capsules flavors taste better?",What are the dimensions of a Nespresso capsule?
confusion to curiosity: What's the difference between autism and schizoaffective disorder?,What's the difference between autism and schizoaffective disorder?
curiosity to surprise: What is the most unexpected moment of your life?,Which is the most shocking and unexpected moment in your life?
curiosity to surprise: How can I define a spiceorder while trying to simulate Eagle schematic through LTC Spice?,Why can't I get shocked while welding when a huge ampere current flows through our body and I touch the electro rod with my naked hand?
"curiosity to surprise: What is the song that goes like ""Woah oh oh oh woah oh woah""?","What is the song that goes like ""Woah oh oh oh woah oh woah""?"
"confusion to curiosity: How good or bad is MBBS or BDS in Manipal University, Manipal?","How good or bad is MBBS or BDS in Manipal University, Manipal?"
