question1,question2
curiosity to confusion: Why doesn't FiveThirtyEight open source their election prediction model?,Why doesn't FiveThirtyEight open source their election prediction model?
love to curiosity: Do girls love blowjobs?,Why do some people enjoy giving blowjobs?
admiration to curiosity: Has an amazing coincidence ever happened to you?,What's the biggest coincidence that has ever happened to you?
curiosity to admiration: What were Hillary Clinton's positive achievements as Secretary of State?,What were Hillary Clinton's positive achievements as Secretary of State?
"curiosity to confusion: I'm 23year old & 5ft girl weighing 60kg & my fats are mainly concentrated in my tummy, thighs and hips. How and what exercises should I follow?","I'm 23year old & 5ft girl weighing 60kg & my fats are mainly concentrated in my tummy, thighs and hips. How and what exercises should I follow?"
"fear to anger: I'm a big guy. When I get angry, people get scared and accuse me of threatening them. How do I stop this? I'm not actually a violent person.","I'm a big guy. When I get angry, people get scared and accuse me of threatening them. How do I stop this? I'm not actually a violent person."
admiration to curiosity: What are the best peaceful locations in India for holiday?,Which are the best places for the holidays in India?
confusion to curiosity: Should I buy this new laptop or not?,Should I buy a new laptop?
curiosity to confusion: How can I disable checkpoint in Endpoint Security firewall?,How can I disable checkpoint in Endpoint Security firewall?
curiosity to amusement: What are some of the best jokes you've ever heard?,What are some of the best jokes you've ever heard?
curiosity to confusion: Why do Trump supporters believe that Donald Trump can get his platform through congress?,Why do Trump supporters believe that Donald Trump can get his platform through congress?
admiration to curiosity: Where can I get fantastic value in Sydney for floor tiles?,Where can I get best quality wall and floor tiles at very affordable rates in Sydney area?
admiration to curiosity: What was the last great decade for rock?,"Who would you pick as the best rock band of the last decade, 2005-2015?"
curiosity to sadness: What is the latest age for a wisdom tooth to come out?,My wisdom tooth is hurting but it has come out well and I floss there. So why is it hurting then?
curiosity to surprise: What interests should I add on Omegle to get more girls?,Omegle is not so famous among girls. Do girls know about or like Omegle?
confusion to curiosity: Why do I not lose weight when I throw up?,What are the best ways to lose weight?
admiration to curiosity: Where can I get wonderful flavors on cupcakes in Gold Coast?,Where can I get good quality cupcakes and a lot of different flavor in Gold Coast?
curiosity to annoyance: I m bio student how I got admission in vits Vellore in biotechnology and I don't have math in 12?,Kindly tell me whole process of admission at vits Vellore for biotech.i m a bio student in 12..I don't have math there?
curiosity to admiration: How can I learn node.js in a week?,How can I learn node.js in a week?
curiosity to joy: I am a Portuguese national and I want to move to Norway. Is it possible?,I am a Portuguese national and I want to move to Norway. Is it possible?
"confusion to curiosity: Why don't we use conveyor belts to shorten airport runways? If this idea is new, does that mean it should at least be named after me, if not patented?",How likely is that the US or Russia will elect someone insane enough to start a nuclear war (excluding Donald Trump)?
annoyance to curiosity: Would Donald Trump be the worst president in US history?,Would Donald Trump be the worst president in US history?
curiosity to love: How do I know if a boy loves me?,How do I know if a boy loves me?
fear to curiosity: Tea: Is it dangerous to boil water in a plastic electric kettle?,Tea: Is it dangerous to boil water in a plastic electric kettle?
confusion to curiosity: I am a guy with chest size 38 and hip size 41. I want to reduce my hip size.What should I do?,What exercise can help to reduce the weight on my arms?
admiration to curiosity: How do you write a beautiful introduction to an essay?,How do I write the introduction of an essay?
"amusement to curiosity: What's it like to find a picture of you, friends, or family on a ""funny/awkward"" photo site?",What a picture or photo that makes you think a lot when you see it?
curiosity to confusion: How do I my epf account no I have my uan?,How do I my epf account no I have my uan?
"curiosity to admiration: Why is it that if we trust someone blindly, they make us blind one day?","Why is it that if we trust someone blindly, they make us blind one day?"
admiration to curiosity: Which is the most awesome way to die?,What are some of the most innovative ways to die?
fear to love: Why am I afraid to be myself?,Why am I afraid to be myself?
admiration to curiosity: What makes great movies incredibly engaging?,What are the best movies with a plot twist?
curiosity to anger: Can American political parties expel members?,"I hate both US political parties, but I find one to be the lesser of two evils. Does this make me a moderate or a grudging party member?"
curiosity to love: What should I do if my boyfriend never makes time for me?,What should I do if my boyfriend never makes time for me?
curiosity to love: How does one fall in love?,How does one fall in love?
fear to curiosity: Do humans fear artificial intelligence because it has no soul?,Do humans fear artificial intelligence because it has no soul?
admiration to curiosity: Where can I get wonderful flavors on cupcakes in Gold Coast?,Where can I get an unique taste for cupcakes in Gold Coast?
optimism to curiosity: What gives you hope during tough times?,What gives you hope for humanity?
"curiosity to admiration: How do you think Federer, Nadal, Djokovic, Murray, Wawrinka, Delpo & Cilic rank in terms of potential when it comes to greatest spot in the tennis?","How do you think Federer, Nadal, Djokovic, Murray, Wawrinka, Delpo & Cilic rank in terms of potential when it comes to greatest spot in the tennis?"
confusion to curiosity: How can I travel with low budget?,How do I travel with a low budget?
"curiosity to confusion: If I skip breakfast and lunch, and only have dinner and two cups of coffee in a whole day, will I lose weight?","If I skip breakfast and lunch, and only have dinner and two cups of coffee in a whole day, will I lose weight?"
sadness to curiosity: Is death by hanging painful?,Is death by hanging painful?
"confusion to curiosity: Belgium: Which historians disagree with Churchill's literary treatment of the King of the Belgians, Leopold III, following his surrender to Germany during May 1940?",Why did Denmark surrender to Nazi Germany in just 3 hours?
curiosity to confusion: How can find my user name and password in IRCTC by my register mobile number or Email ID?,How can find my user name and password in IRCTC by my register mobile number or Email ID?
curiosity to confusion: What are the existing 10 types of reptiles?,What are the existing 10 types of reptiles?
curiosity to sadness: What is the Tesseract in the Doctor Who universe and what purpose does it serve?,Why am I so sad and lonely.?
curiosity to confusion: How can I view a private Instagram?,How can I view a private Instagram?
"curiosity to optimism: How do you think the future of choosing a research or career path in Computational Geophysics would be, for a MS student in Compuational Engineering?","How do you think the future of choosing a research or career path in Computational Geophysics would be, for a MS student in Compuational Engineering?"
curiosity to remorse: What is it like to regret having children?,Do you ever regret having your child?
curiosity to confusion: Where  can i sell a business idea?,Where  can i sell a business idea?
amusement to curiosity: What is funniest joke you've ever heard?,What is the best joke ever heard?
realization to curiosity: I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?
curiosity to fear: What is it like to have gay sex for the first time after living as a straight person?,Are straight men afraid of gay men?
confusion to curiosity: How do I prepare for the GATE and is coaching necessary or not?,Is it necessary to go for coaching for GATE preparation?
"admiration to curiosity: Which is the correct grammar: ""I will appreciate if you.."" or ""I would appreciate if you..""?",How do I correct WordPress mobile grammar errors?
curiosity to annoyance: Is it cruel to dismantle your boyfriends lego and withhold one vital piece so it can never be whole again?,My mother in law has no interest in my kids and never made effort to get to know them but sends me cruel emails.Why? I've not done anything to her.
"confusion to curiosity: If I'm not a millionaire, am I qualified to answer questions about becoming a millionaire?",I am risk averse. How do I become millionaire?
curiosity to anger: What are some quotes on stupidity?,What are some of the most stupid quotes?
curiosity to confusion: My boyfriend wants to have anal sex with me; will it hurt or feel good?,My boyfriend wants to have anal sex with me; will it hurt or feel good?
"curiosity to approval: Which of the sentences is correct? I have visited my doctor yesterday, I visited my doctor yesterday or I had visited my doctor yesterday","Which of the sentences is correct? I have visited my doctor yesterday, I visited my doctor yesterday or I had visited my doctor yesterday"
curiosity to confusion: Why do some people sweat excessively in their armpits?,Why do some people sweat excessively in their armpits?
admiration to curiosity: What are the most beautiful French songs?,What are some good French songs?
curiosity to love: Is it wise to move in with your boyfriend of 6 months into his place?,Is it wise to move in with your boyfriend of 6 months into his place?
fear to curiosity: Why are American conservatives and libertatians afraid of big governments?,Why are American conservatives and libertatians afraid of big governments?
confusion to curiosity: I don't feel like going to school and this is like everyday story. What should I do? I'm in 11th grade.,I'm 21. I no longer like going to school and don't see the point. I feel I'm so distant from friends recently. What should I do to make life more interesting? Should I take an adventure somewhere?
curiosity to confusion: Why do some people still think Global warming a myth?,Why do some people still think Global warming a myth?
"anger to curiosity: My ex girlfriend just gave birth to a child with the guy she cheated me with , but the asshole abandoned her, what should I do?","My ex girlfriend just gave birth to a child with the guy she cheated me with , but the asshole abandoned her, what should I do?"
confusion to curiosity: Why has not any Indian Mathematician won a Fields Medal?,Why has an Indian born person never received the Fields medal?
curiosity to admiration: How are YIF placements?,How are YIF placements?
admiration to curiosity: What is a fictional work that is genuinely good but has a terrible fan base?,What are some good Harry Potter/Dean Thomas fan fictions?
confusion to curiosity: Why doesn't caller ID display the callers name on a cell phone if the number isn't in my contact list?,How can I access caller ID on an Android phone?
confusion to curiosity: What is a goood answer to 'Why should I not hire you?',What is the best answer to why should I not hire you?
curiosity to love: What is the sallary of a bank po?,What is the sallary of a bank po?
curiosity to admiration: What are the best iphone gadgets that you should buy?,What are the best iphone gadgets that you should buy?
curiosity to anger: How do I deal with my manager?,How did you deal with the manager you hated?
curiosity to admiration: What are some online resources to learn UI design?,What are some online resources to learn UI design?
admiration to curiosity: What are the best institutes to study a big data course in Hyderabad?,What are the best institutes for big data in Hyderabad?
curiosity to amusement: What are some funny classic Bollywood songs?,What are some funny classic Bollywood songs?
confusion to curiosity: Why do some people not believe in God?,Why are some people atheists?
curiosity to confusion: Why we need step down voltage for distribution?,Why we need step down voltage for distribution?
confusion to curiosity: Some of the biggest mistake in life?,Are mantras always good in nature? Can you share some evil mantras and their meaning?
curiosity to confusion: Can a poor person get a good job?,Can a poor person get a good job?
fear to curiosity: Why is India afraid of having referendum in Kashmir?,Why is India afraid of having referendum in Kashmir?
confusion to curiosity: Can I paint glass with acrylic paint? Why or why not?,How do you use acrylic paint on glass?
love to curiosity: Do parents really love all their kids equally?,Do parents really mean it when they say they love all their children equally?
curiosity to disappointment: How school teachers ought to help by?,I'm bad at math because of the way my high school teachers teach me. Is there any way I can get better at math without the help of teachers?
curiosity to confusion: What foods can help boost creativity?,What foods can help boost creativity?
joy to curiosity: How can I enjoy my life the most?,How do I enjoy the life?
love to curiosity: Is it possible to run away from my life without 'loved ones' tracing me?,Are you running away from something?
curiosity to confusion: What is the best computer science course I can take that will not focus too much on the language they use?,What is the best computer science course I can take that will not focus too much on the language they use?
admiration to curiosity: What is the extent of the U.S. Navy's presence inside the Great Lakes?,Does the US Navy have a permanent presence on the Great Lakes?
curiosity to confusion: Why can't we have one child policy in India?,Why can't we have one child policy in India?
"confusion to curiosity: I suspect my spouse is cheating, how do I know for sure?",How can I know if my spouse is cheating?
confusion to curiosity: Why is Cricket not popular in US even though it was a British colony?,Why is cricket not popular in the US despite being a part of former British colonies?
curiosity to amusement: Is someone born in 1977 generation X or Y?,Is someone born in 1977 generation X or Y?
"fear to curiosity: Why do some Americans refer to Obama's presidency as, ""scary""?","Why do some Americans refer to Obama's presidency as, ""scary""?"
curiosity to admiration: Which laptop is best under 50K now a days?,Which laptop is best under 50K now a days?
confusion to curiosity: What's the difference between T-Mobile and MetroPCS? Both are owned by the same company and use the same towers. Why should I pay more for T-Mobile service?,How are both Cell Phone AND Broadband Services provided by Verizon & T-mobile in the U.S.?
fear to curiosity: I think I hit the bottom of my car on a rough curb. Should I be worried?,I think I hit the bottom of my car on a rough curb. Should I be worried?
curiosity to confusion: How do I delete a picture on Instagram?,How do I delete a picture on Instagram?
"confusion to admiration: Why do I pay a custom fee on Trevo but not Monavie (same products, shipped from the USA in Canada)?","Why do I pay a custom fee on Trevo but not Monavie (same products, shipped from the USA in Canada)?"
disappointment to curiosity: I never cursed and it's a good thing I know. But my friends always say bad words and I feel so behind. Should I learn how to curse like they do?,I never cursed and it's a good thing I know. But my friends always say bad words and I feel so behind. Should I learn how to curse like they do?
admiration to curiosity: Which movies are the best examples of the Hero's Journey?,What great films do not follow the classic '3-Act Structure' or 'Hero's Journey'?
surprise to curiosity: [SPOILER] How big of a shock was it that Darth Vader was Luke's father when it was first revealed?,[SPOILER] How big of a shock was it that Darth Vader was Luke's father when it was first revealed?
"curiosity to confusion: I wanna study hard but I can't, how can I motivate myself for that?","I wanna study hard but I can't, how can I motivate myself for that?"
confusion to curiosity: What is it that we as Indians are collectively doing wrong?,What is it that we indians are doing collectively wrong?
curiosity to confusion: What is verfify identity in Google account?,What is verfify identity in Google account?
"curiosity to love: Which is the best sitcom: the Big Bang Theory, HIMYM or Friends?","Which is the best sitcom: the Big Bang Theory, HIMYM or Friends?"
confusion to curiosity: Where should I stay in Munnar?,What are the best places to stay in munnar?
curiosity to confusion: I forgot my password and the email address I used to create my Snapchat account. How can I log in or at least change my email address or password?,I forgot my password and the email address I used to create my Snapchat account. How can I log in or at least change my email address or password?
confusion to curiosity: My face has gained a lot of fat .How do I reduce it?,What is the best way to reduce face fat?
curiosity to confusion: I forgot my Tata Photon password. How can I get back?,I forgot my Tata Photon password. How can I get back?
curiosity to remorse: Which is correct: each of you is  or  each of you are?,"""I am sorry"" vs ""excuse me"": When should each be used?"
love to curiosity: Is it right for a gay Christian to think that gay love is okay but gay sex is unacceptable?,"What is it like to have gay sex, if you're not actually gay or bisexual?"
curiosity to confusion: How do I test the AdWords Ad link externally (not from the system)?,How do I test the AdWords Ad link externally (not from the system)?
confusion to curiosity: Should I quit my first job after two months?,Is it ok to quit my first job after 6 months?
curiosity to surprise: How can I use Omegle on my iPod Touch and how is it compared to using Get It On?,How can I use Omegle on my iPod Touch and how is it compared to using aFreeChat.com?
"curiosity to anger: Shakespeare once said ""There are more things in heaven and earth, Horatio, than are dreamt of in your philosophy"". How should skeptics best address this question?","What do you think is ""Hell""?"
curiosity to love: What event or experience from your childhood inspired you as an adult?,What event or experience from your childhood inspired you as an adult?
curiosity to confusion: What should my friend and I do on Saturday if we are bored?,What should my friend and I do on Saturday if we are bored?
"curiosity to anger: I want to kill myself, my life has no meaning, what should I do?","I'm 40, I hate my life. I want to end my misery but I can't. Why can't I kill myself?"
curiosity to disappointment: How come I can't feel any connection with anyone In my life?,"Life Advice: My (now ex) boyfriend cheated on me with someone I am related to and I feel so foolish and humiliated, how can I cope with this in a healthy way and not blame myself?"
curiosity to love: What does agape mean?,What does agape mean?
curiosity to admiration: When was the last year that America was great according to the Trump campaign?,When was the last year that America was great according to the Trump campaign?
curiosity to amusement: How can I transfer my ICICI credit card balance amount to my ICICI bank account? Will they charge me for this transfer?,How can I transfer my ICICI credit card balance amount to my ICICI bank account? Will they charge me for this transfer?
"confusion to curiosity: Does the female body undergo changes after losing virginity? If not, why would people think it does?",What might be the reasons why people sometimes believe a woman's body changes after she loses her virginity?
confusion to curiosity: Why is the Zabbix server not running? How can I fix it?,Why is my proxy server is refusing connections? How do I fix this?
curiosity to confusion: Why can I upvote this Quora question?,Why can I upvote this Quora question?
curiosity to confusion: How do I upgrade the Intex Aqua Power to Lolipop?,How do I upgrade the Intex Aqua Power to Lolipop?
confusion to curiosity: Is it wrong to date a 25 years old guy while I'm 21?,How creepy is it for a 25 year old guy to date a 18-20 year old girl?
curiosity to admiration: How difficult is it for the average person to become a computer programmer?,How difficult is it for the average person to become a computer programmer?
confusion to curiosity: What should I do to reduce weight?,What should you do if you want to lose a lot of weight?
"gratitude to curiosity: What is the best reply to ""thank you"" in formal and casual situations?","When I say ""I miss you"" to a guy, usually, he replies: ""Thank you"" only. What does that mean?"
curiosity to confusion: How can I climb Mt. Everest?,How can I climb Mt. Everest?
curiosity to confusion: How can I log in Facebook without password?,How can I log in Facebook without password?
sadness to curiosity: What was it like to go from being very poor to becoming very rich over night,What was it like to go from being very poor to becoming very rich over night
curiosity to admiration: What are fictional characters?,What are fictional characters?
confusion to curiosity: I don't think I've ever wanted magic more. what does the sentence mean?,What does 'couldn't've done' mean?
love to curiosity: How do I get over a broken love relationship?,How does a person get over a broken heart?
"confusion to curiosity: What is the true meaning of ""hear no evil, see no evil, speak no evil""?",What does evil incarnate mean?
curiosity to confusion: Which laptop should I buy under 60k?,Which laptop should I buy under 60k?
confusion to curiosity: Should I stop trying?,When should one stop trying?
curiosity to confusion: Softwares used for designing in automobile industry which one should know?,Softwares used for designing in automobile industry which one should know?
confusion to curiosity: Why can't I like someone's picture on Instagram?,How do you save instagram pics?
curiosity to sadness: Am I just causing a problem with my girlfriend for no reason?,I'm feeling very alone because I just had a breakup with my girlfriend. I'm not getting out of it. How can I overcome this situation?
curiosity to confusion: Why should I still vote for Hillary Clinton?,Why should I still vote for Hillary Clinton?
confusion to curiosity: Why is Youtube not working on my iPhone? How can I fix this?,Why is YouTube not working on my iPhone?
"curiosity to confusion: Which would you choose, Company brand or job profile?","Which would you choose, Company brand or job profile?"
admiration to curiosity: What is the best Alan Watts book?,What is a good free book on the topic of justice?
curiosity to confusion: How can I know the contact of a person in telegram if its number is not saved on my phone and he is messaging me?,How can I know the contact of a person in telegram if its number is not saved on my phone and he is messaging me?
confusion to curiosity: Why are U.S. Vice presidents not allowed to drive in the six months after their term?,Which all companies offer embedded coding profile at NSIT?
curiosity to confusion: How do I prepare for AIPMT with 3-4 months remaining?,How do I prepare for AIPMT with 3-4 months remaining?
confusion to curiosity: Can I not use Facebook Workplace without a unique domain email address?,How do I recover my Facebook email and password?
curiosity to confusion: How does the U.N. get funding?,How does the U.N. get funding?
curiosity to confusion: Is it bad to let sweat dry on your body?,Is it bad to let sweat dry on your body?
curiosity to confusion: What are some possible solutions if I forgot my iCloud password?,What are some possible solutions if I forgot my iCloud password?
anger to confusion: My classmate hate me because of my attitude?,My classmate hate me because of my attitude?
confusion to curiosity: Is there any way I can earn money online without any kind of investment?,Can I make money online without investing?
confusion to admiration: Is there anything in particular I should pay attention to when moving a CPU from one motherboard to another?,Is there anything in particular I should pay attention to when moving a CPU from one motherboard to another?
"curiosity to confusion: How do I kill a small animal with toothpaste and jam?(Just a thought I happened to have, I dont plan on killing any animals nor do i want to)","How do I kill a small animal with toothpaste and jam?(Just a thought I happened to have, I dont plan on killing any animals nor do i want to)"
love to curiosity: How do I fall in love with books again?,How did you fall in love with books?
curiosity to confusion: Why degree in psychology?,Why degree in psychology?
love to curiosity: What are the top 3 musical pieces that best represent love?,What are the top 3 musical pieces that best represent joy?
confusion to curiosity: Why when I read an English article do I understand most of the words but I cannot understand the message of the article very well? How can I improve my reading comprehension?,I am very poor in English language and even struggle to understand while reading small article also. How can I improve it without attend class?
love to curiosity: What is the color of love?,What are colors?
confusion to curiosity: Why should I/we believe in humanity?,Is it difficult to find apartment in New jersey for an Indian?
confusion to curiosity: What should I answer when asked desired career level?,What are the salary ranges of each level in Google's technical career track?
amusement to curiosity: What is the funniest joke you ever heard?,What is the best joke you've ever heard? Please keep it clean.
curiosity to confusion: What if I am boring?,What if I am boring?
curiosity to confusion: Is it true that most colleges fill their early decision pool primarily with people with legacy and recruited athletes?,Is it true that most colleges fill their early decision pool primarily with people with legacy and recruited athletes?
fear to curiosity: How do I fix my fear of fighting?,How do I fix my fear of fighting?
curiosity to confusion: What are some books or videos for understanding how the Indian economy works?,What are some books or videos for understanding how the Indian economy works?
curiosity to annoyance: What are the some of the most interesting stories about Ravana based on Hindu mythology?,Is Indra the most coward god in hindu mythology?
"annoyance to sadness: I'm jealous when my best friend is having fun with other friends.That makes me angry with her and sometimes I don't talk to her because of it. As a girl, how can I stop being so jealous?","I'm jealous when my best friend is having fun with other friends.That makes me angry with her and sometimes I don't talk to her because of it. As a girl, how can I stop being so jealous?"
confusion to curiosity: What does it mean if my texts to one person say “sent but not delivered” but the photos I send to that same person always say delivered?,What do Iranians think about Dubai?
"confusion to curiosity: What if I do not like coding, what are the other options where I have scope?",State the relation between wealth and welfare.?
curiosity to amusement: What are some fun games to play at a co-ed baby shower?,What are some fun games to play at a co-ed baby shower?
love to curiosity: What are some signs that an introvert boy loves you?,What are some signs an introvert guy likes you more than a friend?
curiosity to admiration: Who are the best Internet service providers in San Francisco?,Who are the best Internet service providers in San Francisco?
curiosity to admiration: Are foxes more closely related to dogs or cats?,Are foxes more closely related to dogs or cats?
optimism to curiosity: Is The Force Awakens the exact same plot as A New Hope?,"Is it just me, or does Star Wars the Force Awakens copy the New Hope?"
admiration to curiosity: What is your greatest professional achievement?,Which is your greatest achievement?
curiosity to love: How do you tell someone you don't love them?,How do you tell someone you don't love them?
confusion to curiosity: Is astrology true? Should we believe it or not?,Do you believe in horoscope?
curiosity to admiration: What are some iconic quotes about Rahul Dravid?,What are some iconic quotes about Rahul Dravid?
curiosity to anger: Which is the best speech you ever heard?,What is the worst speech you ever heard?
confusion to curiosity: Why are people not giving Trump a chance?,How do I deal with being picked on by a teacher?
admiration to curiosity: What are the most awesome places worth visiting in Chennai?,What are some unique places to visit in Chennai?
admiration to curiosity: What are the best apps for the iPad 2,"What are the top 5 apps I should get for my iPad 2, and why?"
curiosity to confusion: What shouldn't I do in India?,What shouldn't I do in India?
admiration to curiosity: Was Michael Jackson all time great dancer with his timing and pure perfection moves?,Why don’t Irish dancers move their arms?
curiosity to confusion: What should I do to get into an Ivy League college?,What should I do to get into an Ivy League college?
gratitude to curiosity: What does it mean when a boy thanks a girl for being in his life?,What is reliance jio sim offering?
confusion to curiosity: Total no of govt medical seats in Weat Bengal? Bengal,"I want to make world record of having most wives, currently I am married to 6 divorced woman, what is maximum?"
confusion to curiosity: In what ways can I grow taller?,What are the ways to grow tall?
confusion to curiosity: I am a B.E fresher & I am weak in programming so which field should I choose…?,Administration of atropine in organophophorous poisioning?
curiosity to confusion: Why should I vote for Trump?,Why should I vote for Trump?
curiosity to annoyance: What is the best anime to watch when you are bored?,What is the most boring anime you have ever watched?
curiosity to love: Which protein supplement is best for gym to gain weight?,Which protein supplement is best for gym to gain weight?
curiosity to love: Why do I keep dreaming about a lover I don't have & who's face I can't see? Why do I miss him every time I wake up?,Why do I keep dreaming about a lover I don't have & who's face I can't see? Why do I miss him every time I wake up?
curiosity to annoyance: What are the things that the people around you do that annoy you the most?,What is the most annoying thing that people around you do?
curiosity to disgust: What is the most sensible thing you have ever heard someone say?,What’s the most morally disgusting thing you’ve ever seen someone do?
curiosity to confusion: Why were the polling results and predictions for the US 2016 presidential election so inaccurate/wrong?,Why were the polling results and predictions for the US 2016 presidential election so inaccurate/wrong?
