input_text,target_text
"admiration to surprise: In 1961, when To Kill a Mockingbird was in its 41st week on the bestseller list, it was awarded the Pulitzer Prize, stunning Lee.","To Kill a Mockingbird, which had been on the bestseller list for 41 weeks, won the Pulitzer Prize in 1961, leaving Lee surprised."
"sadness to embarrassment: It was also described as a ""sadistic musical bake-off"", and ""a romp in humiliation"".","It was named a ""cruel baking battle"" and ""a humiliating contest""."
"sadness to disappointment: Economies were also impacted with the loss of artisans, merchants, manufacturers and agriculturists.","The economy experienced a downturn as a result of the departure of artisans, merchants, manufacturers, and agriculturists."
admiration to approval: Education in Israel is highly valued in the national culture with its historical values dating back to Ancient Israel and was viewed as one fundamental blocks of ancient Israelite life.,"The value of education in Israeli culture is deeply rooted in history, dating back to Ancient Israel, where it was regarded as a crucial aspect of Israelite life and society."
"admiration to approval: England is quite a successful nation at the UEFA European Football Championship, having finished in third place in 1968 and reached the semi-final in 1996.","At the UEFA European Football Championship, England has demonstrated its success, finishing in third place in 1968 and making it to the semi-final in 1996."
"approval to realization: Environmental sustainability has become a mainstream issue, with profound effect on the architectural profession.",The architectural profession has experienced a profound shift due to the increasing emphasis on environmental sustainability as a mainstream concern.
"caring to nervousness: Environmentalists are concerned about loss of biodiversity that will result from destruction of the forest, and also about the release of the carbon contained within the vegetation, which could accelerate global warming.","The destruction of the forest is causing environmentalists to be concerned about the loss of biodiversity and the release of carbon from the vegetation, which could accelerate global warming."
"realization to disappointment: By the beginning of the 20th century, the trans-Saharan trade had clearly declined because goods were moved through more modern and efficient means, such as airplanes, rather than across the desert.","The trans-Saharan trade had evidently decreased by the beginning of the 20th century as more modern and efficient transportation methods, such as airplanes, replaced the traditional desert routes."
"caring to fear: This is of great concern to space missions, where an obscured telescope or solar cell can ruin an expensive mission.",The risk of an obscured telescope or solar cell ruining an expensive mission is a significant concern for space missions.
"sadness to disappointment: Even with the five largest cities in Sichuan suffering only minor damage from the quake, some estimates of the economic loss run higher than US$75 billion, making the earthquake one of the costliest natural disasters in Chinese history.","Even though the five biggest cities in Sichuan suffered only minor damage from the earthquake, certain projections suggest that the economic loss could run higher than US$75 billion, rendering it one of the most expensive natural disasters in Chinese history."
"admiration to approval: Other factors being equal, these are the best witnesses.","Given that all other factors are identical, these witnesses are the most dependable."
excitement to joy: Villagers celebrate the day the cows are herded up to the pastures and again when they return in mid-September.,The villagers rejoice the day when the cows are moved to the pastures and once more when they return in mid-September.
"admiration to approval: Even though the books were not adopted by most universities as textbooks, they continue to sell well because they provide a deep understanding of physics.","Even though the books were not widely adopted as textbooks by universities, they remain popular because they offer a deep understanding of physics."
"sadness to disappointment: The army was severely weakened by low morale, supply problems, the terrible winter weather and low troop quality, whilst general Faidherbe was unable to command due to his poor health, the result of decades of campaigning in West Africa.","A combination of low troop quality, supply difficulties, harsh winter weather, and low morale severely weakened the army, while General Faidherbe's poor health, which was a result of his many years of campaigning in West Africa, prevented him from commanding effectively."
fear to disapproval: I had no idea it was as terrible as that.,I had no notion it was as bad as that.
sadness to disappointment: The Grand Mosque in Medina was severely damaged and widespread pillaging caused deep-seated dissent.,"The Grand Mosque situated in Medina suffered significant damage, and rampant looting resulted in profound discontent."
"admiration to approval: Oratory was an art to be practiced and learnt, and good orators commanded respect.","Oratory was a craft that required training and education, and those who were successful at it were respected."
admiration to approval: Football is the most popular national sport of Egypt.,Football is the national sport of Egypt that enjoys the highest level of popularity.
"approval to realization: These victories, as time transpired, would dramatically transform the distribution of power in East Asia, resulting in a reassessment of Japan's recent entry onto the world stage.","With the passage of time, these victories would bring about a significant shift in the power dynamics in East Asia, resulting in a reassessment of Japan's recent arrival on the world stage."
"optimism to confusion: It remains to be seen what level of success they can achieve in the time frame of the project and the wisdom of it has been publicly contested, with high-profile scientists on both sides of the argument.","The wisdom of the project and the level of success achievable within its time frame have been publicly disputed by renowned scientists, with the final result yet to be determined."
annoyance to disappointment: This pollution caused a range of harmful effects to wildlife and people who eat fish from the river or drink the water.,The contamination had detrimental effects on both the ecosystem and humans who consume fish from the river or use the water for drinking purposes.
disappointment to disapproval: Governments with strong tendencies towards kleptocracy can undermine food security even when harvests are good.,Good harvests may not guarantee food security if governments have a strong inclination towards kleptocracy.
"admiration to realization: The teenager achieved full status as a qualified physician at age 18, and found that ""Medicine is no hard and thorny science, like mathematics and metaphysics, so I soon made great progress; I became an excellent doctor and began to treat patients, using approved remedies.""","At the age of 18, the teenager achieved full recognition as a qualified physician and realized that medicine was not as challenging and intricate as mathematics and metaphysics. They made significant advancements and became an exceptional doctor who administered approved treatments to patients."
admiration to approval: With the technological advancements the state has changed very rapidly.,Technological advancements have led to rapid changes in the state.
"sadness to disappointment: Their relationship was not a happy one, however.","Their relationship was not a joyful one, however."
"confusion to disapproval: Following Plato, even the abstract concept of a featureless void faced considerable skepticism: it could not be apprehended by the senses, it could not, itself, provide additional explanatory power beyond the physical volume with which it was commensurate and, by definition, it was quite literally nothing at all, which cannot rightly be said to exist.","Following Plato, even the abstract concept of a featureless void faced considerable skepticism: it could not be apprehended by the senses, it could not, itself, provide additional explanatory power beyond the physical volume with which it was commensurate and, by definition, it was quite literally nothing at all, which cannot rightly be said to exist."
disappointment to disapproval: Hunting in other areas of the country fell below the national average.,Hunting in other regions of the country did not meet the national average.
realization to sadness: The previous Latin elite were destroyed and the first significant demographic change since antiquity took place with the formation of a Muslim community.,"The former Latin aristocracy was destroyed, and a Muslim population was formed, marking the first major demographic shift since antiquity."
confusion to disapproval: It is not easy to decide whether these instances were Gothic survival or early appearances of Gothic revival.,Differentiating between Gothic survival and early Gothic revival in these cases is not an easy task.
sadness to disappointment: Most children born in the city died before reaching their third birthday.,Children born in the city had a low chance of surviving beyond their third birthday.
"annoyance to disappointment: It had been imposed by a foreign invading army and destroyed centuries of tradition, making Switzerland nothing more than a French satellite state.","A foreign invading army's imposition had destroyed centuries of tradition, reducing Switzerland to a mere French puppet state."
approval to sadness: This development was associated with a substantial decline in the mortality rate among people with hypertension.,The mortality rate of individuals with hypertension experienced a substantial decline as a result of this development.
joy to approval: I made it and got my merit badge.,I fulfilled the requirements and earned my merit badge.
gratitude to admiration: The business flourished thanks to the pair's marketing savvy and an increased demand following the 1971 San Fernando earthquake.,The marketing proficiency of the pair and an increase in demand after the 1971 San Fernando earthquake were instrumental in the success of the business.
sadness to disappointment: The mission failed; 400 Libyans were killed and they were forced to retreat.,"The assignment was a failure, leading to the demise of 400 Libyans and a retreat."
"remorse to disapproval: Gaddafi later came to regret his alliance with Amin, openly criticising him.",Gaddafi later felt contrition for his collaboration with Amin and openly disapproved of him.
"disappointment to disapproval: The faithful who enroll in Masonic associations are in a state of grave sin and may not receive Holy Communion.""",The faithful who enroll in Masonic associations are committing a grave sin and are not allowed to receive Holy Communion.
"admiration to approval: MAPS has become one of the most successful public-private partnerships undertaken in the U.S., exceeding $3 billion in private investment as of 2010.","One of the most successful public-private partnerships in the U.S., MAPS has attracted over $3 billion in private investment as of 2010."
"admiration to approval: The iMac proved to be phenomenally successful, with 800,000 units sold in 139 days.","Selling 800,000 units in a mere 139 days, the iMac was a resounding success."
admiration to approval: In 2004 the song was inducted into the Grammy Hall of Fame.,The song was granted entry into the Grammy Hall of Fame in 2004.
embarrassment to remorse: The photographs caused outrage across the world and Clarence House was forced to issue a statement in response apologising for any offence or embarrassment caused.,"The pictures caused a stir internationally, prompting Clarence House to issue a statement apologizing for any offense or discomfort caused."
"realization to disappointment: Violent crime in New York City decreased more than 75% from 1993 to 2005, and continued decreasing during periods when the nation as a whole saw increases.","The occurrence of violent crime in New York City decreased by over 75% from 1993 to 2005, and it continued to decrease even during periods when the nation as a whole saw an increase."
excitement to admiration: The sales of the record beat the largest sales in one week on vinyl since 1991.,The record's sales bested the most significant vinyl sales in a week since 1991.
"anger to sadness: The government violently suppressed the protests, killing 100 children and teenagers.",The government's use of violence to suppress the protests resulted in the deaths of 100 young individuals.
"realization to disappointment: Over the last several decades, religious practice has been declining as secularization has increased.",The past several decades have seen a decline in religious practice as secularization has gained momentum.
"remorse to disapproval: Comcast released a statement explaining: ""We have spoken with our customer and apologized for this completely unacceptable and inappropriate name change.",Comcast clarified in a statement that they have apologized to their customer for the name change that was completely unacceptable and inappropriate.
"confusion to surprise: Sand, who was six years older than the composer, and who had had a series of lovers, wrote at this time: ""I must say I was confused and amazed at the effect this little creature had on me ...","At that time, Sand, who was six years older than the composer and had a series of lovers, documented her perplexity and astonishment at the impact the little creature had on her."
admiration to approval: He has had a lasting influence on the development of medicine and health sciences.,The influence he had on the growth of medicine and health sciences has persisted over time.
"admiration to approval: She was, however, said to admire Blair's efforts to achieve peace in Northern Ireland.",It was rumored that she had a favorable opinion of Blair's attempts to bring peace to Northern Ireland.
"anger to sadness: Second, I hated to see our country be the first to use such a weapon.""","Besides, it was disheartening to see our nation being the forerunner in employing such a catastrophic weapon."
sadness to disappointment: Businesses are facing the worst downturn since the Great Depression.,The current economic situation is the most difficult one for businesses since the Great Depression.
"joy to approval: It makes me feel we can look the East End in the face"".",It fills me with the courage to meet the East End eye-to-eye.
"disappointment to disapproval: For a businessman who has the profit motive as the prime interest, it is a losing proposition to offer below or above market wages to workers.",Offering wages that are below or above the market rate to employees is not a profitable strategy for a businessman who prioritizes profit.
"sadness to disappointment: In absolute terms, the planet has lost 52% of its biodiversity since 1970 according to a 2014 study by the World Wildlife Fund.","According to a 2014 study by the World Wildlife Fund, the planet has experienced a 52% loss in biodiversity in absolute terms since 1970."
admiration to approval: By end of the decade it was one of the most popular tourist destinations in the United States.,"By the end of the decade, it had become one of the most popular places for tourists to visit in the US."
"confusion to curiosity: Why then should the Jewish myth be true and the Indian and Egyptian myths not be true?""",Can we differentiate between the truthfulness of the Jewish myth and the myths of India and Egypt?
"confusion to disapproval: In brief, there is disagreement among historical analysts as to the exact time period when the minority leadership emerged officially as a party position.",Historical analysts hold differing views on the exact time when the minority leadership was officially established as a party position.
"admiration to approval: In many parts of the world football evokes great passions and plays an important role in the life of individual fans, local communities, and even nations.","Football elicits powerful emotions and has a crucial part to play in the lives of individual fans, local communities, and even entire nations in numerous parts of the world."
"annoyance to disappointment: In politics, corruption undermines democracy and good governance by flouting or even subverting formal processes.","Corruption in politics can subvert or flout formal processes, leading to the erosion of democracy and good governance."
annoyance to disappointment: Corruption in elections and in the legislature reduces accountability and distorts representation in policymaking; corruption in the judiciary compromises the rule of law; and corruption in public administration results in the inefficient provision of services.,"The rule of law is compromised by corruption in the judiciary, while corruption in elections and the legislature reduces accountability and distorts representation in policymaking, and corruption in public administration leads to inefficient service delivery."
"admiration to approval: It is that exactly that will be the great fame of one's descendants.""",The exact thing that will bring about the great fame of one's descendants is that.
admiration to approval: With a population of over 1.5 million this makes the region one of the United Kingdom's most populous metropolitan areas.,"The population of the region exceeds 1.5 million, making it one of the United Kingdom's most populous metropolitan areas."
"disappointment to disapproval: After the Nazi eugenics program, racial essentialism lost widespread popularity.","Following the Nazi eugenics program, racial essentialism was no longer widely accepted."
"realization to disappointment: In the early 21st century, the population of Paris began to increase slowly again, as more young people moved into the city.",An increase in young people moving into the city led to a slow population growth in Paris in the early 21st century.
"realization to disappointment: By the year 2000, national leagues were established in almost every country throughout the world, as well as local or regional leagues for lower level teams, thus the significance of friendlies has seriously declined since the 19th century.","Almost every country worldwide had established national leagues by the year 2000, as well as local or regional leagues for lower-tier teams, resulting in a serious decline in the significance of friendly matches since the 19th century."
"optimism to approval: In the high Renaissance, in fact, there was a hope that more direct knowledge of the wisdom of antiquity, including the writings of the Church fathers, the earliest known Greek texts of the Christian Gospels, and in some cases even the Jewish Kabbalah, would initiate a harmonious new era of universal agreement.","The high Renaissance was marked by a belief that gaining a better understanding of ancient wisdom, such as the Church fathers' writings, the earliest Greek texts of the Christian Gospels, and sometimes even the Jewish Kabbalah, would lead to a new era of universal agreement."
"sadness to disappointment: The parks have been seriously affected by the activities of poachers, particularly those from Sudan, over the past two decades.","Over the last two decades, the parks have experienced a significant decline in their condition, largely due to the actions of poachers, particularly those from Sudan."
"fear to nervousness: As he moved south, he drove off or captured British traders, alarming both the British and the Iroquois.","While moving towards the south, he either expelled or detained British merchants, causing anxiety for both the British and the Iroquois."
"admiration to approval: That credit belongs only to the person who succeeded both in predicting the planet's place and in convincing astronomers to search for it.""",The credit for discovering the planet belongs exclusively to the individual who accurately predicted its location and convinced astronomers to investigate it.
admiration to approval: Israel has produced six Nobel Prize-winning scientists since 2002 and has been frequently ranked as one of the countries with the highest ratios of scientific papers per capita in the world.,"Since 2002, Israel has been home to six Nobel Prize-winning scientists and is frequently ranked among the countries with the highest scientific paper output per capita."
"approval to disapproval: It is also agreed that ""no direct or categorical and stringent proof of the dogma can be brought forward from Scripture"".",The dogma cannot be proven categorically and strictly through Scripture.
"annoyance to disappointment: The bureaucracy was riddled with graft, corruption and inefficiency and was unprepared for war.","The administrative structure was overrun with corruption, graft, and ineffectiveness and was not adequately prepared for combat."
"sadness to disappointment: In many areas, the housing market also suffered, resulting in evictions, foreclosures and prolonged unemployment.","The housing market in several regions also suffered a setback, causing evictions, foreclosures, and prolonged job loss."
"approval to desire: Its mission is to provide high quality education, training and research in the areas of science and technology to produce qualified professionals that can apply their knowledge and skills in the country's development.","The mission is to impart superior education, training, and research in science and technology to create proficient professionals who can apply their knowledge and skills in the country's development."
